Basis of record	Data origin	Institution	Catalogue number	Scientific name	Latitude	Longitude	Country	Department/State/Province	Municipality	Site	Observation	References
PRESERVED_SPECIMEN	Database	"Museum of Comparative Zoology, Harvard University"	MCZ 34278	"Caluromys lanatus (Olfers, 1818)"	-1.736509	-77.484768	Ecuador	Pastaza	Pastaza			GBIF.org
PRESERVED_SPECIMEN	Database	"Administración de Parques Nacionales, Argentina"	APN-AR-FHNFA CFA05820	"Caluromys lanatus (Olfers, 1818)"	-26.37299	-54.17317	Argentina	Misiones	San Pedro			GBIF.org
PRESERVED_SPECIMEN	Database	"Administración de Parques Nacionales, Argentina"	APN-AR-FHNFA CFA04584	"Caluromys lanatus (Olfers, 1818)"	-26.559	-54.79033	Argentina	Misiones	Montecarlo			GBIF.org
PRESERVED_SPECIMEN	Database	"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"" (MACN). Mammalogy National Collection (MACNMa)"	"MACN 24272, 21378-xx, APN-AR APN-IG-2968"	"Caluromys lanatus (Olfers, 1818)"	-25.68029	-54.319289	Argentina	Misiones	Iguazú			GBIF.org
HUMAN_OBSERVATION	Database	"Administración de Parques Nacionales, Argentina"	APN-AR APN-IG-332	"Caluromys lanatus (Olfers, 1818)"	-25.56213	-54.16776	Argentina	Misiones	General Manuel Belgrano			GBIF.org
HUMAN_OBSERVATION	Database	"Administración de Parques Nacionales, Argentina"	APN-AR APN-IG-232	"Caluromys lanatus (Olfers, 1818)"	-25.68389	-54.44687	Argentina	Misiones	Iguazú			GBIF.org
PRESERVED_SPECIMEN	Database	"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"" (MACN). Mammalogy National Collection (MACNMa)"	MACN 21377-xx	"Caluromys lanatus (Olfers, 1818)"	-25.618111	-54.573384	Argentina	Misiones	Iguazú			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 64574	"Caluromys lanatus (Olfers, 1818)"	-12.658	-68.738	Perú	Madre de Dios	Tambopata			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 60018	"Caluromys lanatus (Olfers, 1818)"	-12.865	-73.513	Perú	Cusco	La Convención			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 56026	"Caluromys lanatus (Olfers, 1818)"	-11.78	-73.341	Perú	Cusco	La Convención			GBIF.org
